Drug Name,Drug ID,Cell Line Name,Cosmic ID,TCGA Classification,Tissue,Tissue Sub-type,IC50,AUC,Max Conc,RMSE,Z score,Dataset Version
"Camptothecin","1003","YMB-1-E","1303911","BRCA","breast","breast","-1.6359174261673857",".89947206875109953",".10000000000000001",".051276291173453843",".33799061880197562","GDSC2"
"Camptothecin","1003","MDA-MB-330","1330941","BRCA","breast","breast","2.2731205230180267",".98644219938507438",".10000000000000001",".065940663099991942","2.4636277121417214","GDSC2"
"Vinblastine","1004","HCC1954","749709","BRCA","breast","breast","-3.0546321728065804",".82093348004278588",".10000000000000001",".17052192753823042",".20158641005091188","GDSC2"
"Vinblastine","1004","HCC1143","749710","BRCA","breast","breast","1.3483752080729914",".97982503708254687",".10000000000000001",".12553029055497225","2.2234032345853785","GDSC2"
"Vinblastine","1004","HCC1187","749711","BRCA","breast","breast",".23589277331983971",".98224891176320539",".10000000000000001",".12743049921956756","1.7125624594028332","GDSC2"
"Vinblastine","1004","HCC1395","749712","BRCA","breast","breast","-5.1074370061467622",".57790730371913634",".10000000000000001",".094403681243860088","-.74104097857357487","GDSC2"
"Vinblastine","1004","HCC1937","749714","BRCA","breast","breast","1.3282336568357223",".97765824449535654",".10000000000000001",".066258001606288655","2.2141544362888839","GDSC2"
"Vinblastine","1004","HCC2157","749715","BRCA","breast","breast","-4.1233462672780252",".71584443070263637",".10000000000000001",".0792551413373382","-.28915638229658608","GDSC2"
"Vinblastine","1004","HCC38","749717","BRCA","breast","breast","-.50794880176666213",".94024223819113573",".10000000000000001",".20305669716511643","1.3709978692935891","GDSC2"
"Vinblastine","1004","T47D","905945","BRCA","breast","breast","-1.4276831780047354",".91804590919888396",".10000000000000001",".15793951753813576",".94866506920426075","GDSC2"
"Vinblastine","1004","MCF7","905946","BRCA","breast","breast","-2.0700445215901788",".85617302910944493",".10000000000000001",".065436559272630937",".65369918349362377","GDSC2"
"Vinblastine","1004","BT-549","905951","BRCA","breast","breast","-2.182955442062489",".84196037554250003",".10000000000000001",".11788170707860343",".60185162137598169","GDSC2"
"Vinblastine","1004","Hs-578-T","905957","BRCA","breast","breast","-4.8209051442312578",".61020349850496158",".10000000000000001",".15027122763364384","-.60946842166584014","GDSC2"
"Vinblastine","1004","MDA-MB-231","905960","BRCA","breast","breast","-3.7249811516608577",".74337679829184355",".10000000000000001",".12631948454974035","-.1062311170426561","GDSC2"
"Vinblastine","1004","BT-20","906801","BRCA","breast","breast","-1.8570339024293605",".92428817656584983",".10000000000000001",".28016179847842942",".75151152318990955","GDSC2"
"Vinblastine","1004","COLO-824","906812","BRCA","breast","breast","-3.1424102122551214",".79622973238382921",".10000000000000001",".098398712227196344",".16127961480173889","GDSC2"
